Name,|V| or n,|E| or m,Simple Randomized,Simple Greedy,Semi-greedy (α = 0.6),Simple Local - No. of iterations,Simple Local - Average value,GRASP (300 iterations) - Best value,Known best solution or upper bound
G1,800,19176,9590,10967,11218,129,11327,11475,12078
G2,800,19176,9587,11036,11186,136,11396,11486,12084
G3,800,19176,9588,11018,11174,102,11344,11488,12077
G4,800,19176,9588,11050,11222,171,11473,11515,
G5,800,19176,9590,11056,11193,106,11365,11500,
G6,800,19176,81,1488,1696,97,1817,2027,
G7,800,19176,-75,1422,1504,105,1719,1850,
G8,800,19176,-83,1320,1580,107,1619,1873,
G9,800,19176,-33,1428,1550,95,1720,1907,
G10,800,19176,-82,1275,1426,132,1707,1851,
G11,800,1600,17,432,486,16,464,508,627
G12,800,1600,-2,418,470,16,450,500,621
G13,800,1600,17,418,482,25,468,528,645
G14,800,4694,2346,2901,2943,51,2972,2993,3187
G15,800,4661,2330,2876,2908,44,2945,2987,3169
G16,800,4672,2335,2896,2908,30,2949,2989,3172
G17,800,4667,2333,2887,2930,39,2944,2979,
G18,800,4694,32,807,846,40,863,920,
G19,800,4661,-57,743,689,31,786,848,
G20,800,4672,-23,728,751,30,772,867,
G21,800,4667,-33,701,727,59,802,855,
G22,2000,19990,9989,12402,12772,207,12799,13020,14123
G23,2000,19990,9994,12300,12753,201,12738,13036,14129
G24,2000,19990,9995,12361,12717,206,12778,13029,14131
G25,2000,19990,9994,12393,12732,187,12803,13040,
G26,2000,19990,9995,12327,12751,207,12752,13025,
G27,2000,19990,-21,2322,2626,242,2827,3003,
G28,2000,19990,-52,2294,2652,193,2716,2945,
G29,2000,19990,42,2369,2729,224,2836,3063,
G30,2000,19990,50,2412,2729,222,2926,3067,
G31,2000,19990,-38,2334,2554,192,2787,2955,
G32,2000,4000,11,1026,1178,64,1154,1246,1560
G33,2000,4000,-15,1008,1156,53,1114,1226,1537
G34,2000,4000,-24,980,1148,72,1124,1234,1541
G35,2000,11778,5889,7284,7358,101,7438,7488,8000
G36,2000,11766,5882,7222,7347,110,7391,7479,7996
G37,2000,11785,5893,7254,7368,124,7443,7495,8009
G38,2000,11779,5888,7231,7374,119,7418,7493,
G39,2000,11778,14,1938,1808,126,2135,2172,
G40,2000,11766,-48,1896,1888,127,2087,2163,
G41,2000,11785,-7,1876,2001,99,2048,2175,
G42,2000,11779,61,1967,2015,122,2160,2259,
G43,1000,9990,5000,6172,6391,106,6394,6517,7027
G44,1000,9990,4996,6168,6366,102,6379,6538,7022
G45,1000,9990,4994,6200,6376,82,6367,6512,7020
G46,1000,9990,4994,6186,6295,113,6401,6528,
G47,1000,9990,4994,6231,6344,93,6415,6530,
G48,3000,6000,2999,6000,6000,0,6000,6000,6000
G49,3000,6000,2999,6000,6000,0,6000,6000,6000
G50,3000,6000,3000,5878,5880,1,5880,5880,5988
G51,1000,5909,2955,3623,3726,57,3724,3763,
G52,1000,5916,2957,3632,3681,53,3716,3769,
G53,1000,5914,2956,3651,3696,54,3726,3755,
G54,1000,5916,2956,3633,3705,60,3732,3759,
